1635901,1,10,,,,CONCEPT: The International Standard Classification of Occupations (ISCO-08) is an international classification managed by the International Labour Organisation (ILO). It is a revision of the ISCO-88, which it supersedes. ISCO-08 is a tool for organizing jobs into a clearly defined set of groups according to the tasks and duties undertaken in the job. ISCO-08 has been developed to facilitate international comparisons of occupational statistics and to serve as a model for countries developing or revising their national occupational classifications. The framework used for the design and construction of ISCO-08 is based on two main concepts: the concept of job, and the concept of skill. A job is defined in ISCO-08 as “a set of tasks and duties performed, or meant to be performed, by one person, including for an employer or in self-employment”. Occupation refers to the kind of work performed in a job. The concept of occupation is defined as a “set of jobs whose main tasks and duties are characterized by a high degree of similarity”. A person may be associated with an occupation through the main job currently held, a second job, a future job or a job previously held. Skill is defined as the ability to carry out the tasks and duties of a given job. For the purposes of ISCO-08, two dimensions of skills are used to arrange occupations into two groups: (a) Skill level is defined as a function of the complexity and range of tasks and duties to be performed in an occupation and (b) skill specialization is considered in terms of four concepts: the field of knowledge required, the tools and machinery used, the materials worked on or with and the kinds of goods and services produced.
1636174,4,2740,2730,OC3411,OC341,Legal and related associate professionals
1636175,4,2750,2730,OC3412,OC341,Social work associate professionals
1636176,4,2760,2730,OC3413,OC341,Religious associate professionals
1636177,3,2770,2720,OC342,OC34,Sports and fitness workers
1636178,4,2780,2770,OC3421,OC342,Athletes and sports players
1636179,4,2790,2770,OC3422,OC342,Sports coaches, instructors and officials
1636180,4,2800,2770,OC3423,OC342,Fitness and recreation instructors and program leaders
1636181,3,2810,2720,OC343,OC34,Artistic, cultural and culinary associate professionals
1636182,4,2820,2810,OC3431,OC343,Photographers
1636183,4,2830,2810,OC3432,OC343,Interior designers and decorators
1636184,4,2840,2810,OC3433,OC343,Gallery, museum and library technicians
1636185,4,2850,2810,OC3434,OC343,Chefs
1636186,4,2860,2810,OC3435,OC343,Other artistic and cultural associate professionals
1636187,2,2870,1860,OC35,OC3,Information and communications technicians
1636188,3,2880,2870,OC351,OC35,Information and communications technology operations and user support technicians
1636189,4,2890,2880,OC3511,OC351,Information and communications technology operations technicians
1636190,4,2900,2880,OC3512,OC351,Information and communications technology user support technicians
1636191,4,2910,2880,OC3513,OC351,Computer network and systems technicians
1636192,4,2920,2880,OC3514,OC351,Web technicians
1636193,3,2930,2870,OC352,OC35,Telecommunications and broadcasting technicians
1636194,4,2940,2930,OC3521,OC352,Broadcasting and audio-visual technicians
1636195,4,2950,2930,OC3522,OC352,Telecommunications engineering technicians
1636196,1,2960,,OC4_5,,Clerical support workers, service and sales workers
1636197,1,2970,,OC4,,Clerical support workers
1636198,2,2980,2970,OC41,OC4,General and keyboard clerks
1636199,3,2990,2980,OC411,OC41,General office clerks
1636200,4,3000,2990,OC4110,OC411,General office clerks
1636201,3,3010,2980,OC412,OC41,Secretaries (general)
1636202,4,3020,3010,OC4120,OC412,Secretaries (general)
1636203,3,3030,2980,OC413,OC41,Keyboard operators
1636204,4,3040,3030,OC4131,OC413,Typists and word processing operators
1636205,4,3050,3030,OC4132,OC413,Data entry clerks
1636206,2,3060,2970,OC42,OC4,Customer services clerks
1636207,3,3070,3060,OC421,OC42,Tellers, money collectors and related clerks
1636208,4,3080,3070,OC4211,OC421,Bank tellers and related clerks
1636209,4,3090,3070,OC4212,OC421,Bookmakers, croupiers and related gaming workers
1636210,4,3100,3070,OC4213,OC421,Pawnbrokers and money-lenders
1636211,4,3110,3070,OC4214,OC421,Debt-collectors and related workers
1636212,3,3120,3060,OC422,OC42,Client information workers
1636213,4,3130,3120,OC4221,OC422,Travel consultants and clerks
1636214,4,3140,3120,OC4222,OC422,Contact centre information clerks
1636215,4,3150,3120,OC4223,OC422,Telephone switchboard operators
1636216,4,3160,3120,OC4224,OC422,Hotel receptionists
1636217,4,3170,3120,OC4225,OC422,Enquiry clerks
1636218,4,3180,3120,OC4226,OC422,Receptionists (general)
1636219,4,3190,3120,OC4227,OC422,Survey and market research interviewers
1636220,4,3200,3120,OC4229,OC422,Client information workers not elsewhere classified
1636221,2,3210,2970,OC43,OC4,Numerical and material recording clerks
1636222,3,3220,3210,OC431,OC43,Numerical clerks
1636223,4,3230,3220,OC4311,OC431,Accounting and bookkeeping clerks
1636224,4,3240,3220,OC4312,OC431,Statistical, finance and insurance clerks
1636225,4,3250,3220,OC4313,OC431,Payroll clerks
1636226,3,3260,3210,OC432,OC43,Material-recording and transport clerks
1636227,4,3270,3260,OC4321,OC432,Stock clerks
1636228,4,3280,3260,OC4322,OC432,Production clerks
1636229,4,3290,3260,OC4323,OC432,Transport clerks
1636230,2,3300,2970,OC44,OC4,Other clerical support workers
1636231,3,3310,3300,OC441,OC44,Other clerical support workers
1636232,4,3320,3310,OC4411,OC441,Library clerks
1636233,4,3330,3310,OC4412,OC441,Mail carriers and sorting clerks
1636234,4,3340,3310,OC4413,OC441,Coding, proof-reading and related clerks
1636235,4,3350,3310,OC4414,OC441,Scribes and related workers
1636236,4,3360,3310,OC4415,OC441,Filing and copying clerks
1636237,4,3370,3310,OC4416,OC441,Personnel clerks
1636238,4,3380,3310,OC4419,OC441,Clerical support workers not elsewhere classified
1636239,1,3390,,OC5,,Service and sales workers
1636240,2,3400,3390,OC51,OC5,Personal service workers
1636241,3,3410,3400,OC511,OC51,Travel attendants, conductors and guides
1636242,4,3420,3410,OC5111,OC511,Travel attendants and travel stewards
1636243,4,3430,3410,OC5112,OC511,Transport conductors
1636244,4,3440,3410,OC5113,OC511,Travel guides
1636245,3,3450,3400,OC512,OC51,Cooks
1636246,4,3460,3450,OC5120,OC512,Cooks
1636247,3,3470,3400,OC513,OC51,Waiters and bartenders
1636248,4,3480,3470,OC5131,OC513,Waiters
1636249,4,3490,3470,OC5132,OC513,Bartenders
1636250,3,3500,3400,OC514,OC51,Hairdressers, beauticians and related workers
1636251,4,3510,3500,OC5141,OC514,Hairdressers
1636252,4,3520,3500,OC5142,OC514,Beauticians and related workers
1636253,3,3530,3400,OC515,OC51,Building and housekeeping supervisors
1636254,4,3540,3530,OC5151,OC515,Cleaning and housekeeping supervisors in offices, hotels and other establishments
1636255,4,3550,3530,OC5152,OC515,Domestic housekeepers
1636256,4,3560,3530,OC5153,OC515,Building caretakers
1636257,3,3570,3400,OC516,OC51,Other personal services workers
1636258,4,3580,3570,OC5161,OC516,Astrologers, fortune-tellers and related workers
1636259,4,3590,3570,OC5162,OC516,Companions and valets
1636260,4,3600,3570,OC5163,OC516,Undertakers and embalmers
1636261,4,3610,3570,OC5164,OC516,Pet groomers and animal care workers
1636262,4,3620,3570,OC5165,OC516,Driving instructors
1636263,4,3630,3570,OC5169,OC516,Personal services workers not elsewhere classified
1636264,2,3640,3390,OC52,OC5,Sales workers
1636265,3,3650,3640,OC521,OC52,Street and market salespersons
1636266,4,3660,3650,OC5211,OC521,Stall and market salespersons
1636267,4,3670,3650,OC5212,OC521,Street food salespersons
1636268,3,3680,3640,OC522,OC52,Shop salespersons
1636269,4,3690,3680,OC5221,OC522,Shop keepers
1636270,4,3700,3680,OC5222,OC522,Shop supervisors
1636271,4,3710,3680,OC5223,OC522,Shop sales assistants
1636272,3,3720,3640,OC523,OC52,Cashiers and ticket clerks
1636273,4,3730,3720,OC5230,OC523,Cashiers and ticket clerks
1636274,3,3740,3640,OC524,OC52,Other sales workers
1636275,4,3750,3740,OC5241,OC524,Fashion and other models
1636276,4,3760,3740,OC5242,OC524,Sales demonstrators
1636277,4,3770,3740,OC5243,OC524,Door to door salespersons
1636278,4,3780,3740,OC5244,OC524,Contact centre salespersons
1636279,4,3790,3740,OC5245,OC524,Service station attendants
1636280,4,3800,3740,OC5246,OC524,Food service counter attendants
1636281,4,3810,3740,OC5249,OC524,Sales workers not elsewhere classified
1636282,2,3820,3390,OC53,OC5,Personal care workers
1636283,3,3830,3820,OC531,OC53,Child care workers and teachers' aides
1636284,4,3840,3830,OC5311,OC531,Child care workers
1636285,4,3850,3830,OC5312,OC531,Teachers' aides
1636286,3,3860,3820,OC532,OC53,Personal care workers in health services
1636287,4,3870,3860,OC5321_5322,OC532,Health care assistants and home-based personal care workers
